Course Name (Short),"Type of program (course, workshop, writing group, boot camp, writing centre)",Virtual or In-person,Synchronous or Asynchronous,Faculty,Division,L2? Y=designed for 2nd language (i.e. non-native) English speakers,Mast/PhD?,Prof/Research,Link to Miro sticky note,Eligibility: IVGS (international visiting graduate students)      Y=eligible to register N=ineligible to register,Eligibility: Postdocs (no for all GCAC offerings),F&K Notes,,Dan's categories,,
Writing Grant Proposals,Workshop,,,FAS,,,,,,,,,,Genre,,
Dissertation Writing,Workshop,,,FAS,,,,,,,,,,Genre,,
Comps / Prospectus Writing,Workshop,,,FAS,,,,,,,,,,Genre,,
Conference Abstracts,Workshop,,,FAS,,,,,,,,,,Genre,,
Conference Presentations,Workshop,,,FAS,,,,,,,,,,Genre,,
Major Research Genres (module),Workshop,,,FAS,,,,,,,,,,Genre,,
Writing Journal Articles,Workshop,,,FAS,,,,,,,,,,Genre,,
Turning a Chapter into an Article (or vice versa),Workshop,,,FAS,,,,,,,,,,Genre,,
Writing Article Critiques,Workshop,,,FAS,,,,,,,,,,Genre,,
Writing Literature Reviews / Review Articles,Workshop,,,FAS,,,,,,,,,,Genre,,
Writing Proposals for Theses / MRPs,Workshop,,,FAS,,,,,,,,,,Genre,,
Writing Introductions,Workshop,,,FAS,,,,,,,,,,Genre,,
"Strategies for Preparing for, Writing and Revision Comprehensive Exams",Workshop,,,FAS,,,,,,,,,,Genre,,
Strategies for Clear Scholarly Writing / Clear Writing Tricks,Workshop,,,FAS,,,,,,,,,,Style,,
Developing Your Scholarly Voice,Workshop,,,FAS,,,,,,,,,,Style,,
Developing Your Scholarly Voice in Ethnographic Writing,Workshop,,,FAS,,,,,,,,,,Style,,
Writing like a Pro/f,Workshop,,,FAS,,,,,,,,,,Style,,
Argument and Argumentation,Workshop,,,FAS,,,,,,,,,,Style,,
Uncluttering Your Academic Prose / Strategies for Concise Academic Writing,Workshop,,,FAS,,,,,,,,,,Style,,
Being Strategic about Sentence Construction,Workshop,,,FAS,,,,,,,,,,Style,,
Being Strategic about Paragraph Construction,Workshop,,,FAS,,,,,,,,,,Style,,
Setting Writing Goals,Workshop,,,FAS,,,,,,,,,,Process,,
Strategies for Productive Writing,Workshop,,,FAS,,,,,,,,,,Process,,
